"","Loading","PC1.v","PC2.v"
"288","CBX2",0.021412626,0.008372462
"289","CCDC177",0.021353333,0.001625591
"290","CALCB",0.021349124,-3.34e-05
"291","TPH1",0.021337548,-0.007230035
"292","PAX5",0.021336613,0.008453707
"293","CENPE",0.021329469,0.006304302
"294","SCN8A",0.021325237,-0.006482534
"295","CNTNAP5",0.021284863,-0.007313768
"296","PIF1",0.021272951,0.003506984
"297","HIST1H2BH",0.021272093,0.000453755
"298","PTTG1",0.021262228,0.012884039
"299","ADAMTS18",0.021223721,-0.002879442
"300","UBE2T",0.021206199,0.007569108
"301","ACBD7",0.021182813,0.002820129
"302","T",0.021082431,0.005643728
"303","UNC5A",0.021056075,-0.003252379
"304","USP41",0.02105275,0.005853921
"305","ADAMTS14",0.021048,0.012702813
"306","FAM163B",0.021042547,-0.000809729
"307","DSCAM",0.021036937,0.003346338
"308","CRYBA2",0.021016126,-0.014234501
"309","SCRT1",0.020927834,-0.00225894
"310","CAMK2B",0.020915813,-0.024332639
"311","PHF21B",0.02087807,-0.025576726
"312","GHRH",0.020862773,0.002944236
"313","CDK5R1",0.020862117,0.005037344
"314","DDX25",0.020839544,0.002898605
"315","OGDHL",0.020828812,-0.020403247
"316","KCNK10",0.020795412,-0.002426137
"317","CDK1",0.020777904,0.011501062
"318","BRIP1",0.020755574,0.005733013
"319","C16orf59",0.020754111,0.002947349
"320","ALX3",0.020733693,0.004032252
"321","ADD2",0.020597525,0.003033096
"322","KIRREL2",0.02059273,0.007845239
"323","APC2",0.020572948,-0.003780606
"324","GRM2",0.020567549,-0.000861855
"325","GFY",0.020566472,0.005119516
"326","RAB39A",0.020558624,0.00779055
"327","XRCC2",0.020552346,0.00274134
"328","RGS7",0.020530574,0.003553785
"329","TICRR",0.020528812,0.003184368
"330","EMX1",0.020511565,0.000700914
"331","CENPU",0.02049833,0.007015635
"332","VIL1",0.020485846,0.011464633
"333","ERCC6L",0.020465686,0.004641267
"334","ATP2B3",0.020465034,-0.000363389
"335","CENPK",0.02045345,0.010214732
"336","LRTM2",0.020428799,-0.002427671
"337","SCGN",0.020377663,-0.02280873
"338","PRDM13",0.020350448,0.005222722
"339","PDIA2",0.02032249,-0.003113234
"340","KIF11",0.020262521,0.007695854
"341","OTOG",0.020256958,0.003751427
"342","RCOR2",0.020222324,0.002040117
"343","COL22A1",0.020195036,-0.012057648
"344","VWA5B2",0.020149393,-0.010704582
"345","ARHGAP11A",0.020133736,0.008725025
"346","NEURL1",0.020123581,-0.0045422
"347","ISL1",0.020108589,-0.028605577
"348","FUT9",0.020108177,-0.013270403
"349","SLC17A6",0.020100338,0.002517701
"350","CELF4",0.020085495,0.002823192
"351","ANLN",0.020078382,0.011577795
"352","DLX5",0.020070156,-0.011120211
"353","DTL",0.020053836,0.012277284
"354","AMER2",0.020016213,-0.005248222
"355","DRAXIN",0.019996657,0.004099877
"356","OTP",0.01998913,0.00175915
"357","PCDH8",0.019986116,-0.020557876
"358","INSM2",0.019984824,0.002830722
"359","KIF23",0.019977321,0.009397726
"360","NDC80",0.019937834,-0.001636353
"361","UNC80",0.019934463,-0.023194881
"362","KIAA1549L",0.01993161,0.003107176
"363","TYMS",0.019926542,0.00749194
"364","SCN2A",0.019893665,-0.006792505
"365","HELLS",0.019889918,0.003503444
"366","CA9",0.019888204,0.013842641
"367","FOXB1",0.019876935,0.010892788
"368","AP3B2",0.019866673,-0.01163354
"369","SP9",0.019844482,0.003149771
"370","C1QL1",0.019810386,-0.009487481
"371","PTPRH",0.019787998,0.012192827
"372","PKMYT1",0.019681628,0.005840218
"373","CDC6",0.019661159,0.006581791
"374","DPP10",0.019652635,0.018593913
"375","STMN2",0.019633485,-0.005779532
"376","3-Sep",0.019613864,-0.000900418
"377","KCNT1",0.019596398,0.001068998
"378","EME1",0.019590941,0.006941636
"379","OIP5",0.019563347,0.008187515
"380","KLHDC8A",0.019562555,0.00480034
"381","SNAP25",0.019512991,-0.007582115
"382","COL2A1",0.019511184,-0.01683738
"383","CRABP1",0.019503943,-0.007356556
"384","DMBX1",0.019493415,0.006817887
"385","GINS1",0.019478079,0.005231441
"386","ZWINT",0.019447921,0.006574201
"387","KISS1R",0.019420897,0.009050876
"388","CNTNAP2",0.019380213,-0.023772704
"389","SALL1",0.019376445,-0.015956679
"390","ZACN",0.019360938,-0.012300688
"391","RAX",0.019330644,0.001387257
"392","RIPPLY2",0.019274781,-0.006753754
"393","FANCA",0.019253891,0.012061564
"394","NKAIN1",0.019237463,-0.021890969
"395","FSTL5",0.019218935,0.002149509
"396","C1orf127",0.019194509,0.012180262
"397","KCNJ6",0.019162131,-0.010874631
"398","SNCB",0.019149231,0.002742809
"399","ST8SIA2",0.019143445,-0.002786159
"400","TTBK1",0.01914252,-0.006043742
"401","MAGEA12",0.019123384,0.004984697
"402","TFR2",0.019063861,0.010884033
"403","CDT1",0.019061168,0.007345735
"404","ORC1",0.019053146,0.009208004
"405","MAGEA2B",0.019019397,0.005124468
"406","NTN3",0.018996792,-0.002569744
"407","FAM72A",0.01899611,0.012136157
"408","STIL",0.018988911,0.003027952
"409","ARHGAP33",0.018960196,-0.002772962
"410","PPM1E",0.018957639,-0.011740831
"411","MXD3",0.018902745,0.004203555
"412","CHRM4",0.018901562,0.00922955
"413","E2F1",0.01889617,0.011006976
"414","SHISA8",0.018879193,-0.001689004
"415","BRSK1",0.018877012,-0.008579142
"416","STMN1",0.018844971,0.008667402
"417","CHRNA3",0.018830648,0.002825452
"418","FBF1",0.018812666,-0.009464223
"419","BSN",0.018799296,-0.005172283
"420","GINS2",0.018797522,0.001204282
"421","NCAN",0.01879733,-0.001574374
"422","B3GALT5",0.018794944,-0.009789893
"423","MATR3",0.018772755,-0.005272915
"424","SCG2",0.018719355,-0.004975406
"425","ELAVL2",0.018697867,-0.008428504
"426","GSG2",0.018688643,0.0119265
"427","UGT8",0.018682677,0.013566153
"428","AURKA",0.01866968,0.011326457
"429","CPA5",0.018646337,0.004318902
"430","NR0B1",0.018630032,0.007072378
"431","ZNF367",0.01861498,0.004856982
"432","MAD2L1",0.018575705,0.003994781
"433","CDH2",0.018569006,-0.003453831
"434","C19orf45",0.018525561,-0.002352642
"435","MLLT11",0.018510729,0.001407734
"436","NHLH1",0.01850051,0.005165559
"437","SYCE2",0.018493015,0.002294573
"438","HRK",0.01847399,0.012148294
"439","TNFRSF25",0.01845989,0.004609755
"440","GPR137C",0.018456587,0.002112573
"441","RGS8",0.018434957,0.005125293
"442","SYNPR",0.018424212,-0.00193634
"443","ACRV1",0.018421805,-0.005790713
"444","ARHGEF39",0.018420566,0.005028237
"445","RAD51AP1",0.018380864,0.007613393
"446","GRIA2",0.018377015,-0.013674949
"447","CDC7",0.018331749,0.007919853
"448","RGS17",0.018322196,-0.005645971
"449","LMNB1",0.018299733,0.009739922
"450","SLIT1",0.018277063,-0.004914741
"451","INHBE",0.018275692,-0.00633956
"452","CCNB1",0.01824069,0.006622286
"453","BLM",0.018207347,0.009643699
"454","ARHGAP11B",0.01819425,0.006409763
"455","HCN3",0.018145784,-0.000677831
"456","CLVS1",0.018131281,0.001811913
"457","ELFN2",0.018103937,-0.002478878
"458","TMEM249",0.018074408,0.001196557
"459","LRFN2",0.018066144,-0.003400911
"460","TFAP2B",0.018065312,-0.000737361
"461","TRIP13",0.018028449,0.011477709
"462","GPR12",0.017979678,-0.000512181
"463","CCNE1",0.017963965,0.005219064
"464","NPTX1",0.017933066,0.000394799
"465","PRR11",0.017922764,0.011413212
"466","BRINP2",0.01789304,-0.002971501
"467","STMN4",0.017891476,-0.008823782
"468","KIF18A",0.017889629,0.012193964
"469","RTL1",0.01787162,-0.000885874
"470","FOXI3",0.017862829,0.008727408
"471","ATP4A",0.017849866,0.002293721
"472","ATAD5",0.017836798,0.004101853
"473","PCSK1N",0.01782822,-0.002617631
"474","ZNF711",0.017823344,-0.002838839
"475","KNTC1",0.017816807,0.004342108
"476","UBE2S",0.017813489,0.002913433
"477","C1orf61",0.017810258,0.002792581
"478","HCN2",0.017804916,-0.000884327
"479","HIST1H2BO",0.017786444,-0.001319384
"480","RNF182",0.017761254,0.011026155
"481","SLC18A1",0.017749485,-0.007633161
"482","KIF19",0.0177335,0.013774672
"483","APLP1",0.017726751,0.001179193
"484","ELOVL2",0.01771497,-0.018110214
"485","NRCAM",0.017699365,0.001740043
"486","SOX2",0.017686946,0.002359962
"487","SAPCD2",0.01764701,-0.008213011
"488","CDKN2C",0.017625588,0.002594318
"489","NXPH4",0.017615676,-0.018137112
"490","TAC3",0.017613322,0.002345823
"491","GRK1",0.017610147,0.005508342
"492","TCP11X2",0.017600726,0.002543321
"493","MND1",0.017595285,0.006994442
"494","NKX6-1",0.017568975,0.000524745
"495","COX6B2",0.017530224,0.002601662
"496","CRMP1",0.017527354,0.002405866
"497","SYP",0.017520666,0.002448692
"498","CALCA",0.017518526,-0.004540466
"499","SLC5A12",0.017517028,0.006348511
"500","INSRR",0.017493947,-0.013767592
"501","TIGD3",0.017492802,0.002588714
"502","COL11A1",0.017474432,0.015687007
"503","HPCA",0.017459021,-0.004789614
"504","TMEM74",0.017447407,0.000347367
"505","USH1C",0.017434567,0.005651607
"506","RNFT2",0.01741758,0.007978698
"507","ECT2",0.017381017,0.007918174
"508","HOXD4",0.017374107,-0.008394187
"509","CBS",0.017373541,-0.006646114
"510","CSAG1",0.017341204,0.003828271
"511","SHISA7",0.017323976,-0.002206726
"512","NPC1L1",0.01731287,-0.00023908
"513","NELL1",0.017304346,-0.014731331
"514","SYNGR4",0.017283312,-0.001888881
"515","AGMO",0.017242712,0.004342272
"516","KIF5C",0.017239246,-0.031989775
"517","DNA2",0.017233938,0.001911813
"518","GAP43",0.017199931,-0.003277479
"519","CTNNA2",0.017190991,-0.014824652
"520","NXF2B",0.017167383,0.006165889
"521","CADPS",0.017150139,-0.01644041
"522","SLC45A2",0.017095927,-0.006117944
"523","KIRREL3",0.017062457,-0.001446241
"524","PDX1",0.017056738,0.00297773
"525","FRMD5",0.017048192,0.00374472
"526","FGF17",0.017033912,-0.00712888
"527","SCML2",0.016969921,-0.003801081
