Loading,PC1.v,PC2.v
SHISA7,0.017323976,-0.002206726
NPC1L1,0.01731287,-2.3908e-4
NELL1,0.017304346,-0.014731331
SYNGR4,0.017283312,-0.001888881
AGMO,0.017242712,0.004342272
KIF5C,0.017239246,-0.031989775
DNA2,0.017233938,0.001911813
GAP43,0.017199931,-0.003277479
CTNNA2,0.017190991,-0.014824652
NXF2B,0.017167383,0.006165889
CADPS,0.017150139,-0.01644041
SLC45A2,0.017095927,-0.006117944
KIRREL3,0.017062457,-0.001446241
PDX1,0.017056738,0.00297773
FRMD5,0.017048192,0.00374472
FGF17,0.017033912,-0.00712888
SCML2,0.016969921,-0.003801081
SMC1B,0.016960791,0.002138696
PLK4,0.01693384,0.005434554
RECQL4,0.016922875,-0.004272579
STX1A,0.016897139,0.002295508
SLCO5A1,0.016868135,-0.014160801
DAND5,0.016843301,0.003024471
CDCA7,0.016829187,0.003534828
PHYHIPL,0.016813729,-0.021354379
KLK12,0.016802021,-0.005792521
FOXE3,0.016795452,0.0030312
GNGT1,0.016791405,0.005325523
DNMT3B,0.016781533,0.00441968
CTHRC1,0.016778246,0.017163052
NKX2-1,0.016769818,0.05274192
TMEM151A,0.016765013,-4.55683e-4
LMO1,0.016763435,0.001146785
CENPM,0.016758671,0.009188009
CBLN1,0.016732273,-0.00138644
GRIN2C,0.0167259,0.00510416
SPSB4,0.016723537,0.013044798
HMX3,0.016691396,1.16631e-4
HMSD,0.016679441,0.01724343
PARPBP,0.01665104,0.004498041
FANCB,0.016642299,0.003172033
PLEKHG4B,0.016635743,-0.00193225
RAB3C,0.016626826,0.004503467
SYN1,0.016604562,-0.001017534
C3orf67,0.016593626,0.004380671
SRSF12,0.016578122,-0.008306855
OTX2,0.01656242,0.001771141
TRIM46,0.016536336,0.001405524
MTFR2,0.016533386,0.015203954
MTMR7,0.016517201,0.004526047
IGFL4,0.016513632,7.0083e-4
ANK1,0.016513219,-0.006017817
TEX101,0.016512308,0.001694954
DOC2A,0.016495448,-0.001898895
RASAL1,0.01649496,0.006011368
CHRNA9,0.016486139,0.012059081
HIST1H2AI,0.01645358,-0.002046036
LCN15,0.016431926,-0.010217446
SIX2,0.016430105,-0.008654442
C2CD4C,0.016409418,0.003506959
TLX3,0.016389403,0.001856723
OLFM3,0.016375081,-8.64272e-4
POLE2,0.016365658,0.00444098
L1CAM,0.016364204,-0.008100775
FOXO6,0.016349338,-0.004055123
CDC25A,0.016348124,-2.72e-5
CASKIN1,0.016334691,-0.015720013
FOXD3,0.01633397,-0.010992899
MTHFS,0.016319906,-0.007350844
NETO1,0.016307472,0.005374622
